age,mean_salary
10,12000
13,170000
14,20000
15,146000
16,180909.0909090909
17,265304.347826087
18,359052.63157894736
19,418405.7971014493
20,424502.48756218905
21,434716.04938271607
22,457282.35294117645
23,496666.3043478261
24,564406.0897435897
25,567067.4846625767
26,594547.619047619
27,592203.2520325204
28,658401.0498687665
29,745081.7941952506
30,697242.2802850356
31,771805.2173913043
32,731084.6741573034
33,742465.8227848101
34,762482.6442307692
35,760956.618357488
36,763531.0513447432
37,801216.5354330709
38,824165.0099403579
39,853991.8465227818
40,801999.012345679
41,817098.0926430518
42,742339.378238342
43,799517.4013921113
44,821662.2488888889
45,790611.2440191387
46,863473.0679156908
47,793620.6388206388
48,789624.4594594594
49,820530.8988764045
50,786458.904109589
51,810323.8244514107
52,812009.0361445784
53,796467.6923076923
54,746965.100671141
55,749970.7112970711
56,868909.4488188976
57,753119.6581196581
58,729761.1111111111
59,688196.5957446808
60,764673.0593607306
61,887295.048192771
62,726400
63,763623.5294117647
64,845918.5064935065
65,621420.1680672269
66,713873.417721519
67,741238.8059701492
68,522528.30188679247
69,635102.0408163265
70,562804.3478260869
71,587473.6842105263
72,428416.6666666667
73,722966.6666666666
74,649280
75,640000
76,744615.3846153846
77,450909.0909090909
78,680000
79,770000
80,1350000
81,600000
82,200000
83,200000
84,300000
85,1200000
87,600000
88,633333.3333333334
99,200000
